"recordation_number","location_recordation_number","well_id","appendix_name","owner","x_stateplane_nad27_ca_zone7_ft","y_stateplane_nad27_ca_zone7_ft","ground_surface_ft_msl","production_2014_15_afy","gflow_pumping_ft3_day_positive_extraction","modflow_well_ft3_day_negative_extraction","production_pdf_page","location_pdf_page"
"1902946","11902946","1C","1C","San Gabriel Valley Water Company","4285025","4144049","320","50","5967.123","-5967.123","344","221"
"8000102","18000102","1D","1D","San Gabriel Valley Water Company","4284958","4144190","320","2778","331533.370","-331533.370","344","222"
"8000172","8000172","1E","1E","San Gabriel Valley Water Company","4284876","4144058","319","1787","213264.986","-213264.986","344","221"
"1902857","21902857","2D","2D","San Gabriel Valley Water Company","4279877","4146673","311","816","97383.452","-97383.452","344","222"
"8000065","28000065","2E","2E","San Gabriel Valley Water Company","4279829","4147050","313","1362","162544.438","-162544.438","344","222"
"8000197","8000197","8000197","2F","San Gabriel Valley Water Company","4279871","4146702","305","617","73634.301","-73634.301","344","221"
"1900746","31900746","8B","8B","San Gabriel Valley Water Company","4266967","4134621","232","7","835.397","-835.397","344","222"
"1900747","31900747","8C","8C","San Gabriel Valley Water Company","4266903","4134575","237","1077","128531.836","-128531.836","344","222"
"1903103","319031032","8D","8D","San Gabriel Valley Water Company","4267299","4135122","240","1727","206104.438","-206104.438","344","222"
"8000113","8000113","8E","8E","San Gabriel Valley Water Company","4267299","4135122","239","52","6205.808","-6205.808","344","221"
"8000169","8000169","8F","8F","San Gabriel Valley Water Company","4267166","4134979","248","39","4654.356","-4654.356","344","221"
"8000108","98000108","B11B","B11B","San Gabriel Valley Water Company","4297163","4128089","314","875","104424.658","-104424.658","344","222"
"8000203","8000203","B24A","B24A","San Gabriel Valley Water Company","4296466","4125795","305","116","13843.726","-13843.726","345","221"
"8000204","8000204","B24B","B24B","San Gabriel Valley Water Company","4296676","4125699","305","78","9308.712","-9308.712","345","221"
"1900719","619007192","B5B","B5B","San Gabriel Valley Water Company","4287347","4132799","284","3522","420324.164","-420324.164","344","222"
